user,tanggal,bahasa,isi,polarity,sentiment
1373453111180857349,2022-03-26 03:31:35+00:00,en,Close Eyes (DVRST) X U Know What's Up (From Disney and Pixar's Turning Red) (Music Video) #TurningRed  #uknowwhatsup #closeeyes #dvrst #phonk #remix #2000s #boyband https://t.co/TZDdkCDVjg,0.0,netral
1277081032546758656,2022-03-26 03:31:27+00:00,en,"At first they thought Jimin character in the movie Turning Red is about their unknown disgusting criminals and now they think sn**p mixed their other unknown favs to BTS??? What are those kpoppies on, what kind of brainwashing those companies use on them 😭😭",-0.09375000000000001,negatif
1165401730441515009,2022-03-26 03:31:17+00:00,en,me reviewing Turning Red as a soon to be college graduate: https://t.co/OeBMaMjFsE https://t.co/4btloaXraG,0.0,netral
1094425826676883456,2022-03-26 03:31:04+00:00,en,Okay I actually loved Turning Red and definitely just cried at the end,0.3,positif
1242336348343660545,2022-03-26 03:31:01+00:00,en,@DaZizzytoon Turning Red = Turning Cringe,0.0,netral
1147548683954618371,2022-03-26 03:30:49+00:00,en,"i loved turning red so much. it makes me so happy to think about all the little kids (or former kids) that see themselves in mei and her friends, and the mothers that see themselves in ming and her mother",0.2520833333333333,positif
860204169864597505,2022-03-26 03:30:23+00:00,en,The music in Turning Red is perfection… I am a 4*Townie 4eva,0.0,netral
3439333193,2022-03-26 03:30:12+00:00,en,@saintwalker98 I know like you could could litterally get the kids to take a nap. Put them infront of the t.v and put on encanto and turning red and your done.,0.0,netral
108860032,2022-03-26 03:30:04+00:00,en,I like that Trixie Tang is in Turning Red,0.0,netral
1187761598,2022-03-26 03:29:50+00:00,en,sobs. the turning red director has a page in her sketchbook full of the adventure digimon gals from way back in the early 2000's that's so extremely relatable,0.06499999999999999,positif
1636945081,2022-03-26 03:29:43+00:00,en,"the soundtrack for Turning Red was so flippin good. should had known Ludwig Göransson, aka the GOAT, had a hand in it!",0.35,positif
2696832360,2022-03-26 03:29:30+00:00,en,Me and this girl I babysit are watching TURNING RED and she said“Priya is so pretty because she has beautiful dark skin like me” 🥺😭,0.23750000000000002,positif
760390479779422208,2022-03-26 03:29:04+00:00,en,"Disney’s Turning Red left me empathising with Mum and also contrasting Mei to Hong Kong– like the teenager, the city is captured in between clashing globes https://t.co/jeIoHRcMyz",0.0,netral
52319005,2022-03-26 03:29:01+00:00,en,"@fujikomine1era it's like 3 hours, throw on Turning Red and you're already over half-way to the finish line",0.0,netral
1254220597103599619,2022-03-26 03:28:56+00:00,en,turning red made me so emo,0.0,netral
999123356183023616,2022-03-26 03:28:49+00:00,en,Idc what anyone says turning red is probably my favorite Pixar movie. Shoutout to the Asian representation and the fact there’s a boy band in it🙌🏼 and showing that periods are normal!!!!!!!! No one is too young to learn about the human body and how it works.,0.125,positif
243896711,2022-03-26 03:28:10+00:00,en,"Turning red was good, that song that they were singing by that boy group going on my playlist 😭",0.35,positif
1487168397016190976,2022-03-26 03:27:41+00:00,en,llore viendo turning red https://t.co/IvQUMg2x5b,0.0,netral
1295721700672364551,2022-03-26 03:27:05+00:00,en,turning red fanart makes me so happy😭😭😭😭😭,0.4,positif
2319127281,2022-03-26 03:26:41+00:00,en,Yall are disgusting writing smut of Mei from turning red. 🤢🤢🤢 she is a chilldddd,-0.5,negatif
1160882180,2022-03-26 03:26:20+00:00,en,Turning Red stole my 13 yo heart ❤️ ❤️.  Reminding me of all my fanfiction and obsession with B2K!! Definitely a 4-Townie!! https://t.co/O5tusjd9GA,0.0,netral
1444699351222214656,2022-03-26 03:26:14+00:00,en,"i watched turning red on the day it came out, before the negative reviews started to come in. i have to say, i don’t understand the hate at all. as a 13 year old girl going through puberty (who loves boy bands), i thought the film was fun and relatable. it was basically a +",-0.03333333333333333,negatif
1257795294395318277,2022-03-26 03:26:09+00:00,en,Only 30 minutes into Turning Red and I'm already crying,0.0,netral
4927389046,2022-03-26 03:25:57+00:00,en,turning red was alright. just fine.,0.20833333333333334,positif
66590314,2022-03-26 03:25:55+00:00,en,Turning Red is such a cute movie,0.25,positif
2390243786,2022-03-26 03:25:51+00:00,en,@mcflyclau Turning Red,0.0,netral
215907643,2022-03-26 03:25:43+00:00,en,Turning Red is my top favorite Pixar movie ever. I AM A CRYING MESS 😭❤️❤️❤️❤️❤️,0.20625,positif
1490530647559258112,2022-03-26 03:25:30+00:00,en,@The_MC_Roblox Turning Red,0.0,netral
816133380089618432,2022-03-26 03:25:29+00:00,en,"Turning red

Blue (Turns to Red)",0.0,netral
1360213990757068804,2022-03-26 03:25:06+00:00,en,"This wiki says Tyler from Turning Red has the bandaid on his cheek for ""unexplained reasons"" lol. Nelly would like to have a word. https://t.co/2wRDMjKF5e",0.25,positif
801499270851559424,2022-03-26 03:24:48+00:00,en,Franny Latino -aka Big Red -with a big Home opener for Moon.  The @HurstSoftball commit controlling her forward move and turning it tight. https://t.co/G7buGQPI1a,-0.044642857142857144,negatif
780197570064683009,2022-03-26 03:24:25+00:00,en,"@charles_gaba What it means, in states with contested races more ppl who vote blue are still alive than those who vote red. Maybe even those states that are heavily red have a shot at turning the tide 🌊🌊🌊",-0.042499999999999996,negatif
4924029931,2022-03-26 03:24:18+00:00,en,"@roadbeard How about a video where cyclists roll through stop signs and red lights?  How about cyclists rolling through a right turn as cars are also turning right, then getting pissed off at the driver?",0.24285714285714285,positif
1618808130,2022-03-26 03:23:50+00:00,en,i went to the disney store today and was sooooo disappointed they had not ONE single bit of turning red merch.,-0.2738095238095238,negatif
1338564807511973888,2022-03-26 03:23:49+00:00,en,Close Eyes (DVRST) X U Know What's Up (From Disney and Pixar's Turning Red) #TurningRed #uknowwhatsup #closeeyes #dvrst #phonk #remix #2000s #boyband https://t.co/24shyjCqMY,0.0,netral
1418758314154856449,2022-03-26 03:23:48+00:00,en,the mother-daughter relationship dynamics in turning red are a personal attack on my family,0.0,netral
1295906398736277504,2022-03-26 03:23:31+00:00,en,"One thing about turning red that bothers me, some of the faces remind me of Wallace and Gromit and I hate that shit lol https://t.co/CUEWQcBEBv",-0.04999999999999999,negatif
1063846048668573697,2022-03-26 03:23:24+00:00,en,"Just finished watching Turning Red and the EMOTIONAL DAMAGE. Good GOD. On another note, Miriam is my spirit animal. https://t.co/b86jxajyFp",0.2333333333333333,positif
1030395337012211712,2022-03-26 03:23:16+00:00,en,watching turning red again https://t.co/6a7h7tdk7K,0.0,netral
595043538,2022-03-26 03:23:16+00:00,en,Turning red may be the worst Disney movie I’ve ever seen,-0.5,negatif
1144092419115405312,2022-03-26 03:22:59+00:00,en,WIP!! Doing this pose was a pain but im so happy how it turned out! I want to do the rest of the group!! Just dont know who it can be 🤔. But yeh its inspired on that iconic scene of the movie turning red :D https://t.co/34s7M3UC3D,0.43333333333333335,positif
1416213960282591235,2022-03-26 03:22:41+00:00,en,finally watched turning red i might become a 4town fanpage,0.0,netral
1476721144912830464,2022-03-26 03:22:33+00:00,en,"In my new video, I made the Turning Red Trailer in Royale High!  This video took forever so please watch!  #TurningRed 

TURNING RED TRAILER in ROYALE HIGH / Turning Red Trailer Remake https://t.co/0aICePs8Pr via @YouTube",0.07606060606060606,positif
1463658739479855107,2022-03-26 03:22:26+00:00,en,@sgowooo watching turning red bc lincoln said it was too scary,-0.25,negatif
1362491343734456328,2022-03-26 03:22:24+00:00,en,just watched turning red it was so cute 😭,0.25,positif
1493305079528673286,2022-03-26 03:22:22+00:00,en,🥰 I loved Turning Red!!! https://t.co/4g7RjSaWci,0.35,positif
1065122456464236544,2022-03-26 03:22:21+00:00,en,My sister really decided to get me the Turning Red ears :’) https://t.co/1WLdC2R8JK,0.1,positif
36776326,2022-03-26 03:21:52+00:00,en,Por favor vean Turning Red,0.0,netral
1400882786710573061,2022-03-26 03:21:29+00:00,en,turning red gets a jewl seal of approval for toronto. it really felt like I was back there,0.06666666666666667,positif
1384729310452281349,2022-03-26 03:21:22+00:00,en,Please follow me turning red fans I will follow you back and we can talk about it please please please,0.0,netral
854155236176429056,2022-03-26 03:21:13+00:00,en,ending the night with Turning Red.,0.0,netral
4337308154,2022-03-26 03:20:44+00:00,en,@tariqnasheed Typical Esau turning red not even white 😂,-0.05555555555555555,negatif
1400882786710573061,2022-03-26 03:20:37+00:00,en,listen I forgot to say this when I first watched turning red but it is seriously the best movie I’ve seen that portrays toronto like I could even recognize some of the buildings and streets,0.4166666666666667,positif
1468807472290881537,2022-03-26 03:20:07+00:00,en,turning red was so good,0.35,positif
183102197,2022-03-26 03:20:05+00:00,en,"I've watched Turning Red 3 times.

I cant stop watching this movie. Red pandas are just so adorable. The animation is absolutely top tier. The soundtrack is fantastic.

I need more movies like this",0.27999999999999997,positif
1187539393,2022-03-26 03:19:57+00:00,en,I give Turning Red this many paws up!! https://t.co/IbpWw5RDmh,0.25,positif
1531066854,2022-03-26 03:19:30+00:00,en,"@irwinhllnd @Stray_Kids turning red

#MANIAC_SKZ  #StrayKids  @Stray_Kids",0.0,netral
2806382818,2022-03-26 03:19:22+00:00,en,can someone give me they disney plus so i can watch turning red 🥺🥺🥺🥺🥺🥺,0.0,netral
104316406,2022-03-26 03:19:19+00:00,en,Turning Red was such a cute movie,0.25,positif
1387985395296522241,2022-03-26 03:18:53+00:00,en,Watching turning red with holly🙏🙏,0.0,netral
1324079797073530881,2022-03-26 03:18:33+00:00,en,@yugofanpage MEI MEI SHES THE MAIN CHARACTER OF TURNING RED,0.08333333333333333,positif
1322052272579211266,2022-03-26 03:18:24+00:00,en,Turning Red headbands now available at the World of Disney. Retail $29.99 @ World of Disney https://t.co/7iqBHrsury,0.2,positif
1363901806217203716,2022-03-26 03:18:20+00:00,en,watching turning red with my sister but she keeps pausing it from second hand embarrassment 😭😭,0.0,netral
1422272074001883147,2022-03-26 03:18:00+00:00,en,CORB and I watxhi turning Red I suppose 🫤🫤🫤🫤🫤🫤,0.0,netral
2217876607,2022-03-26 03:17:49+00:00,en,"I don't think I've said this yet, but Turning Red was really fun and really touching. I watched it 3 times in a row because it was just that good.

Also they captured the 13 year old art style so well. Teen me was feeling called out.",0.26666666666666666,positif
1255908914563964929,2022-03-26 03:17:49+00:00,en,"Photo album on the counter, your cheeks were turning red
#DefendTheThroneLegions
#PagiisaNgMultiverso
#SPCMetanoia
#SPCIntramurals2022",0.0,netral
1473379815407472640,2022-03-26 03:17:32+00:00,en,"“Turning red is so inaccurate, 13 year olds don’t act like that 🤬” YALL should’ve seen me attempting black magic to see bts at the prime age of 14",0.10833333333333334,positif
1505031215073669122,2022-03-26 03:17:00+00:00,en,"Baron Tremayne Caple A.K.A. Foxy Kitsune Fox: Red Panda Pixar Walt Disney Turning Red: South Park’s Śéxúal Hárráśśméńt Panda Song

~ Baron Tremayne Caple A.K.A. Fox Man/Fox King/King Fox/Fox Foxy/Foxy Fox/Fox Kitsune Foxy/Foxy Kitsune Fox/Baron Fox/Baron Tremayne Fox 🦊 https://t.co/K9aPz9h1Ag",0.0,netral
894975541744357376,2022-03-26 03:16:39+00:00,en,bruh @/GrapeyMarx said i look like mei mei from turning red smhhhhhhhhhhhh,0.0,netral
1327003065652744193,2022-03-26 03:16:39+00:00,en,watched turning red again,0.0,netral
531667366,2022-03-26 03:16:39+00:00,en,"Whoa, red turning into green as you scroll down? 🤯 https://t.co/iXc81qE9t5",-0.1,negatif
122805570,2022-03-26 03:16:38+00:00,en,Turning Red was a good movie,0.35,positif
4466566096,2022-03-26 03:16:31+00:00,en,"Watched Turning Red with beloved @gaijintwigs , was such a good movie 🥺",0.4666666666666666,positif
41522698,2022-03-26 03:16:14+00:00,en,"I thought you might like ""Turning Red"" on Disney+. https://t.co/3z1zodnVuX",0.0,netral
1476782207675084840,2022-03-26 03:16:04+00:00,en,"( i made the girl from Turning Red! + irl oc &gt;:3
// and new gacha style! :D //
// idk her name ;-; //

-tags-
#TurningRedMovie #TurningRed #gachaclub #gachalife #gacha #gachaTurningRed #gachairloc #gachairl https://t.co/QWmuGdOkL5",0.06818181818181818,positif
901548489993334784,2022-03-26 03:16:00+00:00,en,Turning Red review: once again Pixar delivers with a dilf,0.0,netral
786420544803442689,2022-03-26 03:15:24+00:00,en,Watching turning red I was thrown back into my middle school days,0.0,netral
1398521889723543554,2022-03-26 03:15:23+00:00,en,@KillAqil turning red huh,0.0,netral
1501491123688116224,2022-03-26 03:14:55+00:00,en,hello may turning red po ba sa netflix ??,0.0,netral
1398334775635546114,2022-03-26 03:14:46+00:00,en,I was awake at 12 and i was watching turning red that time-,0.0,netral
1039173071318462466,2022-03-26 03:14:06+00:00,en,"5.) Turning Red (2022) || dir. Domee Shi

it’s always fuck Disney but regardless this movie is so good. all the references to classic anime like Ghibli films and Sailor Moon are very nice. you can tell the ppl making this had a ton of fun. WAY better than Midcanto was

8/10 https://t.co/euJl1QcONN",0.26666666666666666,positif
1476069882592514048,2022-03-26 03:13:56+00:00,en,Turning red reminds me of my 2012 boyband phase,0.0,netral
3300871869,2022-03-26 03:13:50+00:00,en,That turning red movie had me cheering for 4-town as if they’re a real band,0.1,positif
747911026457219073,2022-03-26 03:13:47+00:00,en,turning red giving asian and fan girl representation all in one &gt;&gt;&gt;,0.0,netral
1506080445284466693,2022-03-26 03:13:45+00:00,en,if someone got me the turning red build-a-bear i would marry them on the spot im sorry TT,-0.25,negatif
1292428815751360515,2022-03-26 03:13:40+00:00,en,imagine watching turning red on disney+ and not one of the only theaters that can show the movie on the big screen atm /j,0.0,netral
1412953713724071938,2022-03-26 03:13:29+00:00,en,@Blockner748 if turning red was awesome,0.5,positif
1382461943693316099,2022-03-26 03:13:17+00:00,en,I watched turning red as you guys can probably see haha,0.1,positif
1314714273994604544,2022-03-26 03:13:16+00:00,en,Turning Red https://t.co/3lDgT1mXq3,0.0,netral
1148355681503911937,2022-03-26 03:12:45+00:00,en,"We LOVED #TurningRed from @Pixar - a joyful ode to growing up in early 200s Toronto as the child of Asian parents, with fab gal pals, amazing ancestral history and inherited gift - #WomensHistoryMonth and #FemaleFilmmakerFriday - our review is here https://t.co/M8W6bkKank",0.35,positif
40806587,2022-03-26 03:11:39+00:00,en,@PatrickLapp @JackieHillPerry Have U read about what it meant to the AAPI community? Google vanity fair + turning red. U can learn about complexities of the Asian diaspora and the relationship of AAPI tween girls and mom. The rebellion is part of the story telling.,0.2333333333333333,positif
1015700185366827009,2022-03-26 03:11:11+00:00,en,sitting here watching turning red rn https://t.co/GTb3OZjiSj,0.0,netral
2699113243,2022-03-26 03:11:09+00:00,en,"I just watched Turning Red (fantastic movie!) and without giving away spoilers, I think this movie might have the biggest implicit amount of deaths in any Pixar movie

I won’t elaborate but if you know, you know",0.3,positif
1506407147030171655,2022-03-26 03:11:08+00:00,en,I just watched the new Disney movie turning red and... I relate to it so hard-,-0.051767676767676775,negatif
383527762,2022-03-26 03:10:55+00:00,en,Turning Red was 10/10 definitely recommend,0.0,netral
876220518990479360,2022-03-26 03:10:40+00:00,en,@durkee21 @BluSmurf1914 @GotFights So if you agreeing with the assumption part. Why did you assume the guy in the red was being bullied ?  Ain’t nobody being bullied turning around that fast with no quick jab if they’re walking away,0.17777777777777778,positif
959640955191250945,2022-03-26 03:10:39+00:00,en,i meant to watch turning red over break but maybe i'll do it tomorrow,-0.25,negatif
2296602201,2022-03-26 03:10:14+00:00,en,not even a minute into turning red and this is everything to me,0.0,netral
903470703206211584,2022-03-26 03:10:11+00:00,en,"JUST FINISHED TURNING RED

IT WAS SO CUTE OML",0.25,positif
720159625262174208,2022-03-26 03:10:09+00:00,en,forcing my parents to watch encanto and turning red as though enough movies about broken family relations and the admissions and compromises that ppl who love each other will reach to fix them might give them The Hint,0.024999999999999994,positif
29656757,2022-03-26 03:10:08+00:00,en,why does devon from turning red look like that one skz member,0.0,netral
716838279841230848,2022-03-26 03:09:59+00:00,en,Turning Red: i think some people genuinely forgot how dumb and shallow and dramatic they were as middle schoolers. please chill out. https://t.co/Qe7SxpPbya,-0.1236111111111111,negatif
109387021,2022-03-26 03:09:47+00:00,en,"Turning Red is Not Good, sadly",0.06666666666666665,positif
22867521,2022-03-26 03:09:22+00:00,en,turning red...cantonese...but the merch simplified chinese...explain yourselves,0.0,netral
2737820381,2022-03-26 03:09:12+00:00,en,convinced the group to watch turning red tonight for our movie lets go,0.0,netral
1421375431907885059,2022-03-26 03:09:10+00:00,en,Turning Red was very good,0.35,positif
1424500967647727618,2022-03-26 03:08:50+00:00,en,@toldbytobias DONT SAY THATSHDBDEH. also i’m turning red do u care https://t.co/VgFGNaVC57,0.0,netral
18823026,2022-03-26 03:08:00+00:00,en,"Delighted by ""Turning Red"". So much Toronto love. That great Pixar mix of comedy and pathos.

Echoes of the also excellent ""Brave"" - mother, daughter, redheads, bears.",0.5714285714285714,positif
1140443718924849153,2022-03-26 03:07:55+00:00,en,JORDAN FISHER WAS THE VOICE OF ROBAIRE IN TURNING RED OMG??,0.0,netral
1375099735904768002,2022-03-26 03:07:52+00:00,en,Actually let me watch Turning Red before I cancel,0.0,netral
1265440089842352129,2022-03-26 03:07:46+00:00,en,@FanaticTanuki oh no what if i was also turning into a tank but red and we have to fire at each other but it's horny!?,0.0,netral
1007896611526098944,2022-03-26 03:07:32+00:00,en,just watched turning red idk if a movie has made me cry harder,-0.05,negatif
868850672044830720,2022-03-26 03:07:22+00:00,en,Turning Red is actually a really good movie,0.35,positif
2707737439,2022-03-26 03:07:00+00:00,en,Turning Red is a story about a magical girl and I love it,0.3333333333333333,positif
154263755,2022-03-26 03:06:53+00:00,en,"Okay ""Turning Red"" was charming as hell. Teared up a few times too",0.39999999999999997,positif
1214370242027249664,2022-03-26 03:06:50+00:00,en,"Finally watched turning red and I'm raising an eyebrow at the ppl who got mad and broke the internet over that tiny ass snippet of the idea of a period being had.

Y'all are weak for that 💀",-0.2,negatif
1240280077926977539,2022-03-26 03:06:21+00:00,en,Started watching Turning Red… it just…. Wasn’t good…?,0.0,netral
47086949,2022-03-26 03:06:00+00:00,en,"Disney’s Turning Red left me empathising with Mum and comparing Mei to Hong Kong – like the teen, the city is caught between colliding worlds  https://t.co/E4EGgOw56q",0.0,netral
1384729310452281349,2022-03-26 03:05:59+00:00,en,EEEEEE TURNING RED,0.0,netral
3168026130,2022-03-26 03:05:55+00:00,en,Watched turning red again it was so good. Also everyone helping me plan sakura harunos birthday. Feel full,0.3499999999999999,positif
1409734735459352576,2022-03-26 03:05:50+00:00,en,@DougJBalloon All this Disney wokeness has me 'Turning Red'.,0.0,netral
1596829382,2022-03-26 03:05:17+00:00,en,"Disney’s Turning Red left me empathising with Mum and comparing Mei to Hong Kong – like the teen, the city is caught between colliding worlds https://t.co/uIIL2xyWjh https://t.co/pBWMyQZGrb",0.0,netral
1381479691131875328,2022-03-26 03:05:13+00:00,en,I'M WATCHING TURNING RED THE 4TOWN SONGS SLAP SO HARD AND FOR WHAT????,-0.14583333333333334,negatif
1507193097997889554,2022-03-26 03:05:00+00:00,en,"Relatable character from turning red 
#DefendTheThroneLegions
#PagiisaNgMultiverso
#SPCMetanoia
#SPCIntramurals2022 https://t.co/NKEcawuMcb",0.0,netral
741644107940929537,2022-03-26 03:04:45+00:00,en,I just watched Turning Red and anyone who thinks it’s inappropriate for kids is a wacko weirdo lmao,0.3,positif
193984016,2022-03-26 03:04:05+00:00,en,@sheusedtomosh I immediately thought of you two when I was watching turning red 👍👍👍👍,0.0,netral
1346323491570774017,2022-03-26 03:04:03+00:00,en,"@slutcerer Naga went from just being slight pink color to a burning red. His brain was going wild thinking to himself. 

“No, thank you sir I am very sorry I promise not to make such a mistake again” 

He said before turning away from them whispering “Stop feeling this way that's a male”",-0.1111111111111111,negatif
803632656437026816,2022-03-26 03:03:59+00:00,en,"finished watching turning red 

very good movie",0.35,positif
1227787449243521026,2022-03-26 03:03:55+00:00,en,"Just watched Turning Red, OMG THAT MOVIE WAS INCREDIBLE! The animation, the characters, the story, the MUSIC! My god the muuuuusiccccc🤣",0.45,positif
1123081366873227265,2022-03-26 03:03:41+00:00,en,Abby Turning Red fanart I drew for someone's birthday 💜 https://t.co/r3yzuSKRlA,0.0,netral
1174682113418960896,2022-03-26 03:03:27+00:00,en,turning red was so cuteeee 🥺,0.0,netral
1421200633298890754,2022-03-26 03:03:27+00:00,en,"I'm late to the party, but Turning Red was fantastic. The first third of the movie felt off in various ways, but it progressed into a *great* heartwarming story about coming of age and family dynamics.",0.14375000000000002,positif
1362530433607565313,2022-03-26 03:03:26+00:00,en,Turning Red is better than I thought it would be !,0.25,positif
39424494,2022-03-26 03:03:24+00:00,en,"After about 10 times of watching Turning Red, I realised writing Mei as the only Asian kid dealing with helicopter parenting is very weird? Very sure Priya and Abby should be familiar with it too, instead of seeing Mei as ""brainwashed""???",0.075,positif
1507366793479925765,2022-03-26 03:03:20+00:00,en,Turning red better live up to the hype,0.21212121212121213,positif
3196089602,2022-03-26 03:03:20+00:00,en,"Disney’s Turning Red left me empathising with Mum and comparing Mei to Hong Kong – like the teen, the city is caught between colliding worlds https://t.co/FA0NKjk2zh",0.0,netral
1069524948396335105,2022-03-26 03:03:13+00:00,en,"Yey weekend tudey, mau lanjutin nonton turning red",0.0,netral
2737256286,2022-03-26 03:03:08+00:00,en,"your cheeks were turning red

#DefendTheThroneLegions
#PagiisaNgMultiverso
#SPCMetanoia
#SPCIntramurals2022",0.0,netral
265773690,2022-03-26 03:02:57+00:00,en,"I know I’m late to the party but OMG Turning Red!!! It briefly made me miss being a teen (impossible), absolutely adorable and touching and clever for all the reasons people talk about. BUT ALSO that friend group ❤️ more of that in animated film please, it’s sadly so rare.",0.055555555555555566,positif
3271586294,2022-03-26 03:02:50+00:00,en,Dan and I just watched turning red and I actually really loved it,0.35,positif
1392943161840832512,2022-03-26 03:02:40+00:00,en,finally watching turning red,0.0,netral
4707255081,2022-03-26 03:02:23+00:00,en,turning red was good,0.35,positif
4001240970,2022-03-26 03:02:20+00:00,en,Why the Food in Pixar’s ‘Turning Red’ Looks So Good https://t.co/vEKTLFsuPA via @Eater,0.35,positif
1429953121309057040,2022-03-26 03:01:52+00:00,en,turning red was...really good!!,0.35,positif
13371002,2022-03-26 03:01:22+00:00,en,@photojoseph I don't care. Turning Red was excellent!,0.5,positif
1191311556874768385,2022-03-26 03:01:21+00:00,en,"#TurningRed 
I liked turning red but something about the artstyle was throwing me off the whole time. It was lack of outlines, I added some and I actually like this alot more. https://t.co/jC48ewhRqU",0.2,positif
1260987277456654337,2022-03-26 03:01:09+00:00,en,"Turning Red was really an interesting interpretation of post-Red Scare life and the modern spread of communism. Also, red pandas.",0.175,positif
1464039688226979840,2022-03-26 03:00:40+00:00,en,Just Play Disney and Pixar Turning Red 5-Piece BFF Collectible Figure Set 3-Inch...👉 https://t.co/965Ezog4Sr,-0.25,negatif
3244919147,2022-03-26 03:00:34+00:00,en,turning red was so good dude wtf,0.06666666666666665,positif
852277218638254082,2022-03-26 03:00:26+00:00,en,"If you watch turning red with kpop fans they will actually jump in front of the tv and scream and squee when tae young shows up, so be careful",0.0,netral
1501031737266163712,2022-03-26 03:00:25+00:00,en,"@ITDVpodcast Hey! I proudly present my newest video. It's my Turning Red  SPOILER review! Enjoy!

https://t.co/evrv9cdDW9",0.13333333333333333,positif
902686535979499520,2022-03-26 03:00:06+00:00,en,just watched turning red again and going insane over how pretty every damn frame is. how’s they make it so PRETTY,-0.125,negatif
1321139445450457088,2022-03-26 02:59:58+00:00,en,@3rd_boss Loved turning red ^^,0.35,positif
1501031737266163712,2022-03-26 02:59:48+00:00,en,"@koresart Hey! I proudly present my newest video. It's my Turning Red  SPOILER review! Enjoy!

https://t.co/evrv9cdDW9",0.13333333333333333,positif
1501031737266163712,2022-03-26 02:59:43+00:00,en,"@appuufish Hey! I proudly present my newest video. It's my Turning Red  SPOILER review! Enjoy!

https://t.co/evrv9cdDW9",0.13333333333333333,positif
1279817729793568770,2022-03-26 02:59:36+00:00,en,just watched turning red it was so cute bro I cried,0.25,positif
1501031737266163712,2022-03-26 02:59:31+00:00,en,"@fabu_king Hey! I proudly present my newest video. It's my Turning Red  SPOILER review! Enjoy!

https://t.co/evrv9cdDW9",0.13333333333333333,positif
1501031737266163712,2022-03-26 02:59:18+00:00,en,"@9474S0UL Hey! I proudly present my newest video. It's my Turning Red  SPOILER review! Enjoy!

https://t.co/evrv9cdDW9",0.13333333333333333,positif
780269326288969728,2022-03-26 02:59:16+00:00,en,cna finally unmute turning red as a phrase so i domt have to worru about spoilers. thank god,0.0,netral
1501031737266163712,2022-03-26 02:59:11+00:00,en,"@hanavbara @Pixar Hey! I proudly present my newest video. It's my Turning Red  SPOILER review! Enjoy!

https://t.co/evrv9cdDW9",0.13333333333333333,positif
1501031737266163712,2022-03-26 02:59:04+00:00,en,"@_Cheumi Hey! I proudly present my newest video. It's my Turning Red  SPOILER review! Enjoy!

https://t.co/evrv9cdDW9",0.13333333333333333,positif
1501031737266163712,2022-03-26 02:58:56+00:00,en,"@_komodoro Hey! I proudly present my newest video. It's my Turning Red  SPOILER review! Enjoy!

https://t.co/evrv9cdDW9",0.13333333333333333,positif
